osm_id,code,fclass,name
358639406,3105,christian_methodist,First Methodist Church
358639409,3100,christian,First Southern Baptist Church
358639413,3100,christian,Four Square Gospel Church
358639419,3100,christian,Jehovah's Witness Kingdom Church
358639422,3100,christian,Living Water Chapel
358639427,3100,christian,Park Avenue Baptist Church
358639430,3100,christian,Pentecostal Lighthouse Church
358639433,3100,christian,Riverside Church of God in Christ
358639438,3102,christian_catholic,Saint Johns Catholic Church
358639440,3100,christian,Second Baptist Church
358639448,3100,christian,Summit Wesleyan Church
358639450,3100,christian,Temple Baptist Church
358639453,3100,christian,Trinity Episcopal Church
358639456,3105,christian_methodist,Trinity United Methodist Church
358639464,3100,christian,Mount Olive Baptist Church
358639467,3102,christian_catholic,Saint Josephs Catholic Church
358639477,3100,christian,Bethel Baptist Church
358639480,3100,christian,Calvary Temple
358639482,3100,christian,Church of Christ
358639484,3100,christian,Church of Christ
358639486,3100,christian,Church of Christ
358639488,3100,christian,Church of God
358639492,3100,christian,Church of God in Christ
358639493,3100,christian,Church of the Nazarene
358639496,3100,christian,Faith Bible Church
358639498,3100,christian,First Baptist Church
358639500,3100,christian,First Christian Church
358639503,3100,christian,First Church of God
358639505,3100,christian,First Presbyterian Church
358639508,3105,christian_methodist,First United Methodist Church
358639510,3100,christian,Fellowship Tabernacle
358639512,3100,christian,Grace Episcopal Church
358639515,3100,christian,Grant Avenue Baptist Church
358639517,3105,christian_methodist,Grant Chapel African Methodist Episcopal Church
358639519,3100,christian,Living Word Assembly of God Church
358639522,3100,christian,New Hope Baptist Church
358639523,3105,christian_methodist,Otterbein United Methodist Church
358639527,3100,christian,Parkview Holiness Church
358639529,3100,christian,Saint Patrick Catholic Church
358639531,3100,christian,The Wesleyan Church
358639535,3100,christian,United Brethren in Christ Church
358639537,3104,christian_lutheran,Zion Lutheran Church
358639539,3104,christian_lutheran,Colby Lutheran Church
358639542,3105,christian_methodist,Colby United Methodist Church
358639544,3100,christian,First Baptist Church
358639547,3100,christian,Landmark United Pentecostal Church
358639550,3102,christian_catholic,Sacred Heart Catholic Church
358639554,3100,christian,Central Baptist Church
358639556,3100,christian,Central Free Will Baptist Church
358639561,3100,christian,Church of Christ
358639563,3100,christian,Church of the Nazarene
358639566,3100,christian,Evangelical Friends Church
358639568,3100,christian,First Assembly of God Church
358639570,3100,christian,First Baptist Church
358639573,3100,christian,First Christian Church
358639574,3100,christian,First Church of Christ Science
358639576,3100,christian,First Church of God
358639579,3100,christian,First Congregational United Church of Christ
358639581,3100,christian,First Southern Baptist Church
